Fatura No;TARIH;STOK ADI;SATIS ADEDI;FIYAT;Kasiyer
F86228;27.01.2024;Filtre Kahve 250g;49;66.32;Ayşe
F35190;11.01.2024;Filtre Kahve 250g;11;122.77;Mehmet
F94323;27.01.2024;Sıcak Çikolata;24;141.88;Ayşe
F15043;25.01.2024;Sıcak Çikolata;8;122.91;Ayşe
F89307;07.01.2024;Sıcak Çikolata;17;70.22;Ayşe
F89165;22.01.2024;Sıcak Çikolata;29;123.05;Mehmet
F10806;07.01.2024;Sıcak Çikolata;27;167.86;Ayşe
F67926;07.01.2024;Sıcak Çikolata;29;103.77;Ayşe
F33863;28.01.2024;Sıcak Çikolata;31;98.92;Zeynep
F50402;22.01.2024;Sıcak Çikolata;35;158.67;Ayşe
F56466;16.01.2024;Sıcak Çikolata;16;171.55;Ayşe
F41101;16.01.2024;Sıcak Çikolata;40;45.17;Mehmet
F40632;07.01.2024;Sıcak Çikolata;28;126.34;Zeynep
F51578;19.01.2024;Sıcak Çikolata;21;144.11;Mehmet
F59250;05.01.2024;Sıcak Çikolata;16;91.97;Mehmet
F55969;19.01.2024;Sıcak Çikolata;11;158.96;Mehmet
F53219;02.01.2024;Sıcak Çikolata;27;169.36;Ayşe
F21422;18.01.2024;Sıcak Çikolata;23;101.69;Ayşe
F42091;06.01.2024;Sıcak Çikolata;6;170.63;Zeynep
F91184;25.01.2024;Sıcak Çikolata;31;64.67;Zeynep
F20383;02.01.2024;Sıcak Çikolata;16;84.2;Zeynep
F35259;11.01.2024;Sıcak Çikolata;20;68.42;Mehmet
F53844;12.01.2024;Sıcak Çikolata;3;46.78;Mehmet
F82979;11.01.2024;Yeşil Çay;22;126.54;Mehmet
F63688;08.01.2024;Yeşil Çay;14;75.76;Zeynep
F58844;10.01.2024;Yeşil Çay;4;175.78;Ayşe
F97759;25.01.2024;Yeşil Çay;15;135.61;Ayşe
F90328;27.01.2024;Yeşil Çay;18;148.41;Ayşe
F55204;21.01.2024;Yeşil Çay;11;137.6;Mehmet
F70202;28.01.2024;Yeşil Çay;16;128.73;Mehmet
F33758;20.01.2024;Yeşil Çay;14;93.78;Mehmet
F49095;08.01.2024;Yeşil Çay;18;66.5;Zeynep
F26267;01.01.2024;Yeşil Çay;28;188.35;Zeynep
F31281;01.01.2024;Yeşil Çay;18;132.03;Ayşe
F76635;14.01.2024;Yeşil Çay;14;172.3;Mehmet
F51755;18.01.2024;Yeşil Çay;18;177.06;Zeynep
F12534;14.01.2024;Yeşil Çay;12;126.35;Ayşe
F27127;15.01.2024;Yeşil Çay;20;176.79;Mehmet
F66779;01.01.2024;Yeşil Çay;19;92.38;Zeynep
F22234;27.01.2024;Yeşil Çay;19;184.08;Ayşe
F65267;15.01.2024;Yeşil Çay;14;118.93;Ayşe
F84635;24.01.2024;Yeşil Çay;17;75.82;Zeynep
F40897;25.01.2024;Yeşil Çay;23;140.37;Zeynep
F79976;11.01.2024;Yeşil Çay;5;124.12;Mehmet
F30639;24.01.2024;Sahlep;21;46.52;Ayşe
F71470;20.01.2024;Sahlep;12;78.55;Zeynep
F14368;21.01.2024;Sahlep;6;111.93;Mehmet
F69320;12.01.2024;Sahlep;9;62.3;Mehmet
F94961;15.01.2024;Sahlep;10;93.29;Ayşe
F26068;21.01.2024;Sahlep;12;109.86;Mehmet
F70997;01.01.2024;Sahlep;16;67.25;Mehmet
F51485;12.01.2024;Sahlep;10;49.17;Mehmet
F85208;20.01.2024;Sahlep;6;77.26;Mehmet
F42297;19.01.2024;Sahlep;6;80.45;Mehmet
F37352;08.01.2024;Sahlep;27;130.9;Ayşe
F49395;26.01.2024;Sahlep;16;87.7;Mehmet
F39180;07.01.2024;Sahlep;8;132.67;Ayşe
F58431;21.01.2024;Sahlep;9;94.91;Ayşe
F82259;06.01.2024;Sahlep;20;55.33;Zeynep
F50512;22.01.2024;Sahlep;19;106.63;Mehmet
F67020;17.01.2024;Sahlep;16;184.46;Zeynep
F76327;27.01.2024;Sahlep;15;113.09;Zeynep
F34506;13.01.2024;Sahlep;16;122.52;Mehmet
F88063;26.01.2024;Sahlep;13;164.93;Ayşe
F26127;19.01.2024;Sahlep;1;75.86;Zeynep
F74820;22.01.2024;Limonata 1L;14;57.59;Ayşe
F14979;23.01.2024;Limonata 1L;21;53.17;Zeynep
F95095;28.01.2024;Limonata 1L;26;72.89;Zeynep
F16156;25.01.2024;Limonata 1L;23;141.94;Zeynep
F57734;01.01.2024;Limonata 1L;26;120.73;Mehmet
F24650;03.01.2024;Limonata 1L;24;131.36;Zeynep
F75940;13.01.2024;Limonata 1L;4;87.66;Mehmet
F62566;11.01.2024;Limonata 1L;21;99.03;Ayşe
F33996;06.01.2024;Limonata 1L;16;75.14;Zeynep
F76724;20.01.2024;Limonata 1L;21;94.48;Ayşe
F97699;19.01.2024;Limonata 1L;31;67.52;Zeynep
F33867;14.01.2024;Limonata 1L;31;95.28;Zeynep
F63228;13.01.2024;Limonata 1L;29;80.11;Zeynep
F37880;19.01.2024;Limonata 1L;24;54.4;Mehmet
F14981;04.01.2024;Limonata 1L;21;98.78;Ayşe
F73912;14.01.2024;Limonata 1L;25;75.03;Zeynep
F14119;01.01.2024;Limonata 1L;25;94.1;Ayşe
F62577;12.01.2024;Limonata 1L;18;152.48;Zeynep
F73212;28.01.2024;Limonata 1L;20;102.39;Mehmet
F68379;17.01.2024;Limonata 1L;11;128.73;Zeynep
F91141;25.01.2024;Limonata 1L;15;100.06;Zeynep
F13631;02.01.2024;Ihlamur;7;143.53;Mehmet
F56607;16.01.2024;Ihlamur;2;162.65;Zeynep
F65118;04.01.2024;Ihlamur;12;50.66;Ayşe
F78197;06.01.2024;Ihlamur;8;51.66;Zeynep
F21893;01.01.2024;Ihlamur;14;130.44;Mehmet
F78496;02.01.2024;Ihlamur;7;147.4;Mehmet
F41354;04.01.2024;Ihlamur;9;83.09;Ayşe
F33501;27.01.2024;Ihlamur;8;125.21;Zeynep
F91869;02.01.2024;Ihlamur;9;139.04;Zeynep
F44457;04.01.2024;Ihlamur;20;83.17;Zeynep
F88809;11.01.2024;Ihlamur;10;99.46;Zeynep
F87763;23.01.2024;Ihlamur;13;98.57;Zeynep
F57267;16.01.2024;Ihlamur;5;149.42;Ayşe
F47012;02.01.2024;Ihlamur;4;61.47;Ayşe
F70211;20.01.2024;Ihlamur;5;101.54;Zeynep
F48232;11.01.2024;Ihlamur;9;147.34;Zeynep
F53865;04.01.2024;Cheesecake Dilim;41;53.01;Mehmet
F31140;11.01.2024;Cheesecake Dilim;34;187.15;Zeynep
F55846;02.01.2024;Cheesecake Dilim;27;171.5;Ayşe
F55429;25.01.2024;Cheesecake Dilim;30;170.33;Mehmet
F53961;05.01.2024;Cheesecake Dilim;23;66.35;Ayşe
F26218;26.01.2024;Cheesecake Dilim;26;161.73;Mehmet
F63868;11.01.2024;Cheesecake Dilim;22;136.24;Mehmet
F33582;04.01.2024;Cheesecake Dilim;14;71.72;Ayşe
F92504;04.01.2024;Cheesecake Dilim;32;45.57;Mehmet
F81039;20.01.2024;Cheesecake Dilim;32;185.08;Ayşe
F32051;15.01.2024;Cheesecake Dilim;28;175.08;Zeynep
F76058;17.01.2024;Cheesecake Dilim;23;54.43;Ayşe
F54414;01.01.2024;Cheesecake Dilim;13;89.49;Mehmet
F77243;15.01.2024;Cheesecake Dilim;30;137.77;Mehmet
F88544;28.01.2024;Cheesecake Dilim;10;168.71;Ayşe
F83962;07.01.2024;Cheesecake Dilim;27;107.37;Mehmet
F70300;19.01.2024;Cheesecake Dilim;36;108.68;Mehmet
F68236;23.01.2024;Cheesecake Dilim;8;60.42;Ayşe
F51800;23.01.2024;Cheesecake Dilim;26;165.93;Ayşe
F73585;12.01.2024;Cheesecake Dilim;16;172.71;Mehmet
F12474;14.01.2024;Cheesecake Dilim;37;62.55;Ayşe
F77117;10.01.2024;Cheesecake Dilim;15;148.04;Ayşe
F60004;15.01.2024;Cheesecake Dilim;24;78.32;Ayşe
F23797;03.01.2024;San Sebastian;25;86.39;Ayşe
F24861;12.01.2024;San Sebastian;17;48.74;Mehmet
F19241;10.01.2024;San Sebastian;35;150.42;Zeynep
F48495;27.01.2024;San Sebastian;19;139.74;Ayşe
F47722;24.01.2024;San Sebastian;33;168.52;Mehmet
F83015;13.01.2024;San Sebastian;13;112.71;Zeynep
F82701;05.01.2024;San Sebastian;30;51.14;Ayşe
F52255;16.01.2024;San Sebastian;14;71.29;Ayşe
F67584;01.01.2024;San Sebastian;26;107.1;Ayşe
F58698;14.01.2024;San Sebastian;9;88.45;Ayşe
F57015;03.01.2024;San Sebastian;20;141.69;Ayşe
F37254;01.01.2024;San Sebastian;26;47.03;Zeynep
F74351;07.01.2024;San Sebastian;25;130.88;Mehmet
F53826;02.01.2024;San Sebastian;38;86.63;Mehmet
F94542;05.01.2024;San Sebastian;45;144.1;Ayşe
F37439;11.01.2024;San Sebastian;21;47.58;Zeynep
F53101;11.01.2024;San Sebastian;30;182.2;Zeynep
F55777;09.01.2024;San Sebastian;31;47.44;Ayşe
F83622;06.01.2024;Brownie;26;66.65;Ayşe
F23367;24.01.2024;Brownie;18;71.76;Ayşe
F99826;06.01.2024;Brownie;23;52.41;Zeynep
F56625;05.01.2024;Brownie;8;74.8;Zeynep
F26374;16.01.2024;Brownie;16;50.29;Ayşe
F21887;26.01.2024;Brownie;7;152.01;Zeynep
F56073;27.01.2024;Brownie;11;82.02;Zeynep
F89810;15.01.2024;Brownie;15;93.0;Zeynep
F37478;19.01.2024;Brownie;16;165.44;Ayşe
F92036;25.01.2024;Brownie;14;187.04;Ayşe
F97026;19.01.2024;Brownie;27;166.18;Ayşe
F59635;27.01.2024;Brownie;19;184.84;Ayşe
F74832;15.02.2024;Türk Kahvesi 100g;41;98.65;Zeynep
F93214;05.02.2024;Türk Kahvesi 100g;33;49.8;Ayşe
F70220;14.02.2024;Türk Kahvesi 100g;52;122.21;Zeynep
F89108;28.02.2024;Türk Kahvesi 100g;28;132.39;Zeynep
F68034;15.02.2024;Türk Kahvesi 100g;24;59.12;Mehmet
F67967;09.02.2024;Türk Kahvesi 100g;38;138.87;Ayşe
F21090;17.02.2024;Türk Kahvesi 100g;53;83.76;Zeynep
F22652;17.02.2024;Türk Kahvesi 100g;4;64.13;Mehmet
F68596;08.02.2024;Türk Kahvesi 100g;35;133.76;Ayşe
F36649;12.02.2024;Türk Kahvesi 100g;26;138.43;Zeynep
F28239;18.02.2024;Türk Kahvesi 100g;15;149.82;Ayşe
F93969;28.02.2024;Türk Kahvesi 100g;30;92.33;Mehmet
F78064;21.02.2024;Türk Kahvesi 100g;1;140.4;Mehmet
F20580;25.02.2024;Türk Kahvesi 100g;34;182.18;Mehmet
F73058;02.02.2024;Türk Kahvesi 100g;15;156.28;Zeynep
F45300;15.02.2024;Türk Kahvesi 100g;42;59.14;Mehmet
F69235;09.02.2024;Türk Kahvesi 100g;30;156.26;Ayşe
F37876;05.02.2024;Türk Kahvesi 100g;27;160.56;Zeynep
F14975;10.02.2024;Filtre Kahve 250g;27;85.58;Ayşe
F83025;22.02.2024;Filtre Kahve 250g;20;171.47;Ayşe
F17035;27.02.2024;Filtre Kahve 250g;21;79.57;Zeynep
F39877;20.02.2024;Filtre Kahve 250g;20;170.48;Zeynep
F47307;11.02.2024;Filtre Kahve 250g;17;48.86;Zeynep
F88389;25.02.2024;Filtre Kahve 250g;34;67.46;Zeynep
F51071;03.02.2024;Filtre Kahve 250g;18;72.63;Ayşe
F34937;18.02.2024;Filtre Kahve 250g;21;184.73;Ayşe
F45943;20.02.2024;Filtre Kahve 250g;34;139.44;Ayşe
F89668;26.02.2024;Filtre Kahve 250g;10;108.58;Mehmet
F36785;14.02.2024;Filtre Kahve 250g;19;55.39;Zeynep
F62944;09.02.2024;Filtre Kahve 250g;19;116.84;Ayşe
F44299;12.02.2024;Filtre Kahve 250g;23;140.6;Ayşe
F30907;10.02.2024;Filtre Kahve 250g;6;59.72;Zeynep
F15170;10.02.2024;Filtre Kahve 250g;22;154.01;Zeynep
F48773;27.02.2024;Filtre Kahve 250g;22;163.47;Mehmet
F68310;03.02.2024;Filtre Kahve 250g;20;188.83;Mehmet
F60898;10.02.2024;Filtre Kahve 250g;14;113.8;Mehmet
F67580;08.02.2024;Filtre Kahve 250g;23;50.56;Ayşe
F10251;11.02.2024;Filtre Kahve 250g;30;127.07;Zeynep
F61441;06.02.2024;Filtre Kahve 250g;23;92.64;Mehmet
F94473;21.02.2024;Filtre Kahve 250g;28;164.81;Zeynep
F58921;08.02.2024;Filtre Kahve 250g;24;187.52;Mehmet
F96747;01.02.2024;Filtre Kahve 250g;11;57.87;Mehmet
F28567;12.02.2024;Filtre Kahve 250g;34;66.77;Ayşe
F52680;19.02.2024;Sıcak Çikolata;7;80.8;Zeynep
F30902;09.02.2024;Sıcak Çikolata;12;89.58;Mehmet
F52363;10.02.2024;Sıcak Çikolata;11;171.75;Mehmet
F43011;28.02.2024;Sıcak Çikolata;6;58.69;Mehmet
F91796;14.02.2024;Sıcak Çikolata;19;82.03;Mehmet
F50347;27.02.2024;Sıcak Çikolata;16;88.63;Ayşe
F43247;27.02.2024;Sıcak Çikolata;20;142.49;Mehmet
F30213;27.02.2024;Sıcak Çikolata;24;167.95;Ayşe
F86431;20.02.2024;Sıcak Çikolata;12;172.03;Ayşe
F47335;21.02.2024;Sıcak Çikolata;8;109.86;Ayşe
F78157;24.02.2024;Sıcak Çikolata;13;155.76;Mehmet
F53796;12.02.2024;Sıcak Çikolata;32;95.4;Mehmet
F19328;07.02.2024;Sıcak Çikolata;21;189.77;Mehmet
F33732;04.02.2024;Sıcak Çikolata;27;88.63;Mehmet
F51359;24.02.2024;Sıcak Çikolata;21;72.14;Mehmet
F65983;28.02.2024;Sıcak Çikolata;22;187.5;Zeynep
F40124;22.02.2024;Sıcak Çikolata;15;67.98;Ayşe
F56092;21.02.2024;Sıcak Çikolata;20;76.54;Ayşe
F38571;11.02.2024;Sıcak Çikolata;32;169.01;Mehmet
F25072;14.02.2024;Sıcak Çikolata;25;161.49;Ayşe
F23953;03.02.2024;Sıcak Çikolata;26;78.9;Zeynep
F66603;15.02.2024;Yeşil Çay;14;55.47;Zeynep
F54856;02.02.2024;Yeşil Çay;18;60.18;Mehmet
F53624;13.02.2024;Yeşil Çay;8;176.36;Zeynep
F80784;14.02.2024;Yeşil Çay;21;63.47;Ayşe
F95827;15.02.2024;Yeşil Çay;18;180.53;Zeynep
F23174;03.02.2024;Yeşil Çay;24;115.65;Mehmet
F77886;12.02.2024;Yeşil Çay;16;133.56;Ayşe
F16311;11.02.2024;Yeşil Çay;13;144.45;Zeynep
F14316;08.02.2024;Yeşil Çay;14;89.56;Mehmet
F47743;07.02.2024;Yeşil Çay;20;144.18;Ayşe
F73717;05.02.2024;Yeşil Çay;13;140.77;Mehmet
F39937;15.02.2024;Yeşil Çay;14;185.89;Zeynep
F53254;12.02.2024;Yeşil Çay;27;101.1;Zeynep
F52893;03.02.2024;Sahlep;15;178.83;Mehmet
F54198;11.02.2024;Sahlep;17;142.64;Mehmet
F74265;01.02.2024;Sahlep;17;107.73;Zeynep
F78186;26.02.2024;Sahlep;11;63.66;Mehmet
F38135;01.02.2024;Sahlep;21;121.93;Ayşe
F39194;25.02.2024;Sahlep;9;76.49;Zeynep
F88748;25.02.2024;Sahlep;22;156.14;Zeynep
F30409;16.02.2024;Sahlep;9;93.92;Mehmet
F76065;03.02.2024;Sahlep;19;122.29;Ayşe
F33945;15.02.2024;Sahlep;15;164.66;Mehmet
F58638;17.02.2024;Sahlep;13;91.41;Zeynep
F27387;21.02.2024;Sahlep;12;178.75;Zeynep
F51215;14.02.2024;Sahlep;18;102.12;Ayşe
F77606;27.02.2024;Sahlep;5;174.0;Zeynep
F12306;23.02.2024;Sahlep;15;152.47;Ayşe
F96310;17.02.2024;Sahlep;8;104.98;Zeynep
F85724;13.02.2024;Sahlep;14;99.11;Ayşe
F72335;12.02.2024;Limonata 1L;12;73.23;Zeynep
F10346;07.02.2024;Limonata 1L;28;58.9;Ayşe
F48442;07.02.2024;Limonata 1L;18;183.71;Mehmet
F58164;27.02.2024;Limonata 1L;20;160.04;Zeynep
F38173;06.02.2024;Limonata 1L;15;47.87;Zeynep
F31081;02.02.2024;Limonata 1L;9;150.42;Mehmet
F12820;08.02.2024;Limonata 1L;23;167.75;Mehmet
F49532;16.02.2024;Limonata 1L;22;118.45;Zeynep
F82565;01.02.2024;Limonata 1L;2;71.1;Zeynep
F10535;03.02.2024;Limonata 1L;25;84.12;Mehmet
F58050;14.02.2024;Limonata 1L;28;90.6;Ayşe
F80695;23.02.2024;Limonata 1L;21;156.26;Mehmet
F33103;20.02.2024;Limonata 1L;17;47.41;Mehmet
F93973;04.02.2024;Ihlamur;2;86.25;Mehmet
F63999;14.02.2024;Ihlamur;11;131.11;Ayşe
F65901;09.02.2024;Ihlamur;9;149.03;Zeynep
F39018;13.02.2024;Ihlamur;8;182.5;Zeynep
F49976;23.02.2024;Ihlamur;8;181.48;Mehmet
F99496;22.02.2024;Ihlamur;5;182.46;Mehmet
F53626;16.02.2024;Ihlamur;9;108.58;Mehmet
F58923;07.02.2024;Ihlamur;11;133.68;Zeynep
F94265;17.02.2024;Ihlamur;7;99.26;Zeynep
F89529;15.02.2024;Ihlamur;8;181.42;Zeynep
F66949;16.02.2024;Ihlamur;7;128.49;Ayşe
F30510;03.02.2024;Ihlamur;8;174.94;Zeynep
F92609;23.02.2024;Ihlamur;6;93.09;Mehmet
F77507;17.02.2024;Ihlamur;5;139.09;Ayşe
F95779;14.02.2024;Ihlamur;8;69.98;Zeynep
F28497;20.02.2024;Ihlamur;2;131.79;Zeynep
F85416;04.02.2024;Ihlamur;1;187.49;Ayşe
F87205;25.02.2024;Ihlamur;4;163.32;Mehmet
F23625;22.02.2024;Cheesecake Dilim;12;144.06;Ayşe
F94839;24.02.2024;Cheesecake Dilim;36;184.25;Mehmet
F29398;02.02.2024;Cheesecake Dilim;23;96.9;Zeynep
F61651;12.02.2024;Cheesecake Dilim;33;72.67;Mehmet
F24335;09.02.2024;Cheesecake Dilim;32;70.74;Mehmet
F63564;06.02.2024;Cheesecake Dilim;28;155.12;Ayşe
F95526;03.02.2024;Cheesecake Dilim;18;62.78;Ayşe
F56526;09.02.2024;Cheesecake Dilim;22;122.27;Ayşe
F74912;25.02.2024;Cheesecake Dilim;36;75.17;Zeynep
F53688;20.02.2024;Cheesecake Dilim;37;171.12;Zeynep
F63784;16.02.2024;Cheesecake Dilim;28;155.62;Mehmet
F27590;04.02.2024;Cheesecake Dilim;28;120.97;Mehmet
F65773;28.02.2024;Cheesecake Dilim;9;59.37;Mehmet
F61566;02.02.2024;Cheesecake Dilim;13;184.48;Zeynep
F39681;09.02.2024;Cheesecake Dilim;38;75.74;Mehmet
F79568;22.02.2024;Cheesecake Dilim;31;50.16;Mehmet
F49827;09.02.2024;Cheesecake Dilim;19;157.08;Zeynep
F53649;17.02.2024;Cheesecake Dilim;28;73.31;Mehmet
F78576;06.02.2024;Cheesecake Dilim;12;142.08;Ayşe
F92286;24.02.2024;Cheesecake Dilim;26;156.16;Ayşe
F28340;23.02.2024;San Sebastian;29;53.14;Mehmet
F30670;27.02.2024;San Sebastian;23;66.67;Zeynep
F73285;25.02.2024;San Sebastian;17;138.43;Mehmet
F53383;03.02.2024;San Sebastian;8;186.96;Mehmet
F37591;18.02.2024;San Sebastian;22;57.29;Ayşe
F33876;12.02.2024;San Sebastian;37;169.85;Zeynep
F21924;25.02.2024;San Sebastian;32;144.32;Ayşe
F85740;23.02.2024;San Sebastian;31;106.79;Mehmet
F50703;15.02.2024;San Sebastian;28;123.15;Ayşe
F95373;12.02.2024;San Sebastian;19;88.25;Ayşe
F64202;09.02.2024;San Sebastian;33;49.62;Zeynep
F17942;01.02.2024;San Sebastian;26;162.97;Zeynep
F74191;07.02.2024;San Sebastian;20;182.61;Ayşe
F91861;16.02.2024;San Sebastian;30;185.84;Mehmet
F97184;11.02.2024;San Sebastian;32;163.46;Ayşe
F38680;24.02.2024;San Sebastian;25;154.03;Ayşe
F16122;01.02.2024;San Sebastian;16;137.32;Ayşe
F78354;16.02.2024;San Sebastian;9;79.6;Mehmet
F21318;23.02.2024;San Sebastian;28;174.64;Ayşe
F55807;18.02.2024;San Sebastian;31;128.56;Zeynep
F68363;10.02.2024;San Sebastian;19;146.82;Ayşe
F62293;24.02.2024;Brownie;13;65.97;Ayşe
F40430;12.02.2024;Brownie;3;132.57;Ayşe
F39759;05.02.2024;Brownie;14;139.45;Zeynep
F78430;09.02.2024;Brownie;13;128.36;Mehmet
F64175;28.02.2024;Brownie;9;187.09;Zeynep
F94362;07.02.2024;Brownie;20;141.97;Ayşe
F23363;04.02.2024;Brownie;8;110.65;Ayşe
F26048;18.02.2024;Brownie;15;166.6;Mehmet
F92821;21.02.2024;Brownie;22;187.59;Zeynep
F65462;21.02.2024;Brownie;15;128.36;Zeynep
F50358;14.02.2024;Brownie;18;179.0;Zeynep
F17581;08.02.2024;Brownie;20;69.86;Zeynep
F92695;12.02.2024;Brownie;21;76.64;Zeynep
F90314;10.02.2024;Brownie;10;172.63;Zeynep
F20273;04.02.2024;Brownie;19;165.21;Mehmet
F85615;09.03.2024;Türk Kahvesi 100g;29;106.29;Zeynep
F63088;11.03.2024;Türk Kahvesi 100g;30;106.42;Zeynep
F96437;17.03.2024;Türk Kahvesi 100g;35;186.4;Mehmet
F48255;08.03.2024;Türk Kahvesi 100g;39;56.12;Mehmet
F93398;09.03.2024;Türk Kahvesi 100g;39;174.3;Mehmet
F28344;26.03.2024;Türk Kahvesi 100g;50;63.14;Mehmet
F89254;11.03.2024;Türk Kahvesi 100g;18;150.62;Zeynep
F41612;01.03.2024;Türk Kahvesi 100g;13;56.61;Ayşe
F21836;08.03.2024;Türk Kahvesi 100g;17;128.39;Ayşe
F86425;13.03.2024;Türk Kahvesi 100g;28;57.03;Ayşe
F30918;24.03.2024;Türk Kahvesi 100g;23;159.62;Ayşe
F76617;05.03.2024;Türk Kahvesi 100g;26;95.81;Ayşe
F27872;16.03.2024;Türk Kahvesi 100g;22;46.11;Ayşe
F32098;12.03.2024;Türk Kahvesi 100g;22;122.16;Ayşe
F45485;11.03.2024;Türk Kahvesi 100g;21;184.52;Ayşe
F10945;16.03.2024;Türk Kahvesi 100g;19;183.34;Zeynep
F83634;26.03.2024;Filtre Kahve 250g;18;88.07;Ayşe
F83020;18.03.2024;Filtre Kahve 250g;14;114.21;Ayşe
F12722;12.03.2024;Filtre Kahve 250g;13;175.36;Mehmet
F75051;22.03.2024;Filtre Kahve 250g;15;83.05;Zeynep
F24974;10.03.2024;Filtre Kahve 250g;12;48.54;Zeynep
F18909;16.03.2024;Filtre Kahve 250g;24;81.49;Ayşe
F97091;03.03.2024;Filtre Kahve 250g;19;108.11;Ayşe
F59061;13.03.2024;Filtre Kahve 250g;13;100.79;Zeynep
F89683;25.03.2024;Filtre Kahve 250g;17;119.48;Zeynep
F20650;28.03.2024;Filtre Kahve 250g;14;141.53;Ayşe
F50101;14.03.2024;Filtre Kahve 250g;24;183.62;Ayşe
F62299;10.03.2024;Filtre Kahve 250g;15;182.47;Mehmet
F32267;22.03.2024;Filtre Kahve 250g;8;109.87;Zeynep
F32185;11.03.2024;Filtre Kahve 250g;18;65.67;Zeynep
F41879;26.03.2024;Filtre Kahve 250g;21;63.82;Zeynep
F15594;28.03.2024;Filtre Kahve 250g;25;81.37;Ayşe
F17806;19.03.2024;Filtre Kahve 250g;14;66.25;Mehmet
F13426;18.03.2024;Filtre Kahve 250g;14;170.88;Zeynep
F41614;04.03.2024;Filtre Kahve 250g;18;85.93;Ayşe
F26682;14.03.2024;Filtre Kahve 250g;10;163.52;Mehmet
F85535;23.03.2024;Sıcak Çikolata;22;70.51;Ayşe
F22515;07.03.2024;Sıcak Çikolata;9;60.49;Ayşe
F92588;17.03.2024;Sıcak Çikolata;12;131.67;Zeynep
F59518;27.03.2024;Sıcak Çikolata;4;159.45;Mehmet
F76896;15.03.2024;Sıcak Çikolata;20;146.25;Ayşe
F94157;10.03.2024;Sıcak Çikolata;20;96.23;Mehmet
F59794;05.03.2024;Sıcak Çikolata;9;102.58;Mehmet
F69853;20.03.2024;Sıcak Çikolata;9;47.17;Mehmet
F65680;27.03.2024;Sıcak Çikolata;21;111.49;Zeynep
F32169;23.03.2024;Sıcak Çikolata;9;100.57;Mehmet
F40724;28.03.2024;Sıcak Çikolata;17;163.97;Ayşe
F58799;24.03.2024;Sıcak Çikolata;15;116.74;Ayşe
F32153;19.03.2024;Sıcak Çikolata;11;92.77;Ayşe
F90125;01.03.2024;Sıcak Çikolata;10;158.49;Mehmet
F36592;24.03.2024;Yeşil Çay;13;158.73;Mehmet
F99629;04.03.2024;Yeşil Çay;8;68.92;Ayşe
